facebook.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
grasshopper.com,ok,https://logmeincdn.azureedge.net/sc-grasshoppermedia/-/media/664e6224153b46aeab33d401e2703366.png,259.1452090270594
ciena.com,ok,https://www.ciena.com/__data/assets/file/0025/13795/prx-logo-mobile.svg,338.6516708621275
test.com,"Failed, this website is off or blocked our connection"
mailjet.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
polycom.com,ok,https://www.poly.com/etc.clientlibs/poly/clientlibs/clientlib-site/resources/images/company-logo-color.svg,209.2490745292821
demandbase.com,ok,https://www.demandbase.com//wp-content/uploads/img_ABM-powerful-tool_podcast_fy22.png,375.8422016692631
squidoo.com,ok,https://images.saymedia-content.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cg_faces:center%2Cq_auto:eco%2Cw_620/MTc2MzEwMjI3MjI0NzY1NjEz/disadvantages-of-advertising.jpg,921.8860156474176
thrillist.com,ok,https://assets3.thrillist.com/v1/image/3104832/116x116/flatten;crop;webp=auto;jpeg_quality=60.jpg,645.6968144701094
unitrends.com,ok,http://www.unitrends.com//wp-content/uploads/customer-logo-waffle-house.svg,845.3069637543708
solidsignal.com,ok,https://www.solidsignal.com/images/solid-signal-logo.png,394.12933533112493
localedge.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
singtel.com,ok,https://www.singtel.com//content/dam/singtel/eshop/Mobile/Banner/accessories/2022-08/aug22-samsung-galaxy-flip-fold-z-springd-banner-1400x457%20(new).jpg,343.76901134153445
dialmycalls.com,ok,https://www.dialmycalls.com/wp-content/uploads/2021/09/g2-users-love-us-dialmycalls.png,1128.6937403194668
sapo.pt,ok,https://www.sapo.pt//assets/img/blank.png,2785.670443371996
payloadz.com,ok,https://www.payloadz.com//resources/images/logo_payloadz.png,143.0715374858607
vibe.com,ok,https://www.vibe.com/wp-content/themes/vip/pmc-vibe-2021/assets/app/icons/favicon.png,74.47054530461432
hostmonster.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
kentico.com,ok,https://res.cloudinary.com/xperience-io/image/upload/v1661758608/logos/Gartner-Peer-Insights-Customers-Choice-badge-black-2022_abb8hi.svg,79.00003656342126
vanillaforums.com,ok,https://vanillaforums.com/wp-content/themes/visual-composer-starter/images/Header_logo.png,386.94299888817955
promotive.com,ok,https://cdn.expertvoice.com/wp-content/themes/experticity-v1/assets/img/expert-voice-logo.png,343.6876980970816
biznessapps.com,ok,https://www.biznessapps.com///www.cdnstabletransit.net/frontendwp/wp-content/uploads/2016/06/tech-crunch-logo.svg,635.9946618043609
chitika.com,ok,https://www.chitika.com/images/5279120_play_video_youtube_youtuble-logo_icon.png,151.63069252781014
twcbc.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
telstra.com.au,ok,https://www.telstra.com.au//content/dam/tcom/lego/2022/mobile-phones/mobile/samsung-galaxy-z-series-2022/campaign-desktop-samsung-galaxyzseries2022gwp-02-692x500.png,325.97847804128423
engadget.com,ok,https://s.yimg.com/uu/api/res/1.2/qz.0KpLGNaEtIXgXZgYGaQ--~B/Zmk9ZmlsbDtoPTQ2OTtweW9mZj0wO3c9NzAzO2FwcGlkPXl0YWNoeW9u/https://s.yimg.com/os/creatr-uploaded-images/2022-08/862f0e20-2832-11ed-b5fd-ca095b164e94.cf.jpg,595.5550243823775
charterbusiness.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
sailthru.com,ok,https://www.sailthru.com/content/uploads/2020/08/Food52-1-268x161.png,6260.187637283275
esignal.com,ok,https://www.esignal.com/index/publicdocs/images/Alexander_Trading_logo.jpg,32.72694593201958
qq.com,ok,https://mat1.gtimg.com/qqcdn/tupload/1658145102010.png,4.4507037676118015
99designs.com,ok,https://99designs.com/og-image.png,60.83314500037986
clickability.com,ok,https://cms.clickability.com/cmsi/common/logo_login.png,58.131552881646584
totalrecipesearch.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
lyris.com,ok,https://www.aurea.com/wp-content/uploads/headerTILE_ce.jpg,563.0285419252203
listrak.com,ok,https://assets-global.website-files.com/61605d613e0aad4dba52251e/62c5e6f89618e6219a10e858_Knockaround-Sunglasses-Logo.png,2914.736709069008
att.jobs,"Failed, this website is off or blocked our connection"
wirelessemporium.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
wordstream.com,ok,https://www.wordstream.com/wp-content/uploads/2022/02/ws-liq-new-website-grader-mega-menu-offer.png,402.7391630728308
air-watch.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
appboy.com,ok,https://www.braze.com/assets/favicon/safari-pinned-tab.svg,452.68703676602286
wistia.com,ok,https://images.ctfassets.net/j7pfe8y48ry3/WGEUgzyKk1dmiF3ss0yYX/5c68e6d932e73febb46c932d05abd975/Wistia_Home_Page_-_Meta_Image.jpg,84.70164710703345
smtp.com,ok,https://www.smtp.com/wp-content/uploads/2020/11/Visual-send-transactional-emails-with-just-a-few-lines-of-codeâ-520x568-1.png,660.5900159571336
waze.com,ok,https://www.waze.com//live-map//livemap/assets/page-loader-background-3a7ed0b8c26bf15bd2fe18a7c8574f3b.png,252.5713648638907
cox.net,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
list-manage.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
modaoperandi.com,ok,https://cdn.modaoperandi.com/img/uploads/site_display/modules/images/544c0bf1-b924-45e1-abf8-0d8847bc1d4f.jpeg,20.132854581059625
epaperflip.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
vtechphones.com,ok,https://cdn-web.vtp-media.com/images/home/2021/FEB/LS642V-1G+oneLS640V-1G+oneLS640V-1F-1.png,169.6016819009319
peer1.com,ok,https://aptum.com//aptum.com/wp-content/uploads/slider19/center-for-is-logo-e1619626612728.png,665.6004641860486
whatsupgold.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
hellodirect.com,ok,https://www.hellodirect.com/scs/img/HDI-Logo-for-NS-320x68-retina-updated-02192019.png,353.35906244662715
virginmedia.com,ok,https://www.virginmedia.com//content/dam/virginmedia/dotcom/images/mobile-browse/Apple/Iphone-13/homepage-prospect-tile-desktop-textAprilGTM-Offer1.jpg,655.1241721421999
urbanairship.com,ok,https://www.airship.com/wp-content/themes/airship/images/favicon/mstile-310x310.png,1054.7948656584092
truphone.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
eztexting.com,ok,https://www.eztexting.com//sites/default/files/styles/hub_mobile/public/2021-02/hubspot-integration-thumbnail.jpg,1339.7264440446804
gmx.com,ok,"https://i0.gmx.com/gcom/738/11395738,pd=1,f=teaser-card-s/japan.jpg",36.96576768897881
cloudera.com,ok,https://www.cloudera.com//content/dam/www/marketing/images/events/cloudera-now/cloudera-now-22-logo.png,542.8032338389252
americommerce.com,ok,https://www.americommerce.com//Shared/2020/homeLogo_international.jpg,479.8191518806871
homesandland.com,ok,https://www.homesandland.com//Images/Home/looking-to-buy-home-asn58.jpg,218.6909172728769
ericsson.com,ok,https://www.ericsson.com/4aac4f/assets/global/qbank/2020/10/27/bnew-5g-cloud-ran-124788658cc115da294dc83f1be6bc155ca222.jpg,199.26109140116498
broadvoice.com,ok,https://www.broadvoice.com/wp-content/uploads/2022/06/award-3.png,1170.5276088475712
citymax.com,ok,https://www.citymax.com//r/wd_host_content/1/pages/202/page2b_1blue_logos_all.png,231.06608685891024
geotrust.com,ok,https://www.geotrust.com//content/dam/geotrust/logo/GeoTrustLogo.svg,180.97339931692073
myemma.com,ok,https://myemma.com/wp-content/uploads/2022/03/Segmentations_Icon.png,1024.583532979473
godatafeed.com,ok,https://uploads-ssl.webflow.com/5c6f0fe189c3683ca571d70a/5f7b645636e00253e2bf48b9_billabong-sm-bl-compressed.png,543.3095812205245
gogoair.com,ok,https://s25227.pcdn.co/wp-content/themes/gogo-website-theme/assets/images/instagram-white.svg,60.96990582583118
adknowledge.com,"Failed, this website is off or blocked our connection"
appsumo.com,ok,https://appsumo2-cdn.appsumo.com/media/smartcollections/images/AppSumo-plus-last-call_1_6zxuvoz.png,222.33896054990348
att.net,ok,https://s.yimg.com/uu/api/res/1.2/3OVwvWRvM44.3lB6cCmRCA--~B/Zmk9c3RyaW07aD0xMzY7cT04MDt3PTEzNjthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/uu/api/res/1.2/m34cF8XKrwDGFE1POcAMFA--~B/aD01NDA7dz05NjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/at_t_cnn_videos_515/ad2f79a3879d9b3816960722ccf7ae9d.cf.jpg,823.4835343449989
janus.com,ok,https://cdn.janushenderson.com/gwp/uploads/sites/4/MagnifyingGlass_London_300x300.jpg,436.3966755608751
whitefence.com,"Failed, this website is off or blocked our connection"
ntt.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
equinix.com,ok,https://www.equinix.com/home/_jcr_content/root/responsivegrid/container_fixed_1175401457/sectionwrapper_copy/section-wrapper-content/columncontrol/col-2/card/card-content/contentblock_copy/image.coreimg.png/1661208668020/logo-cisco.png,374.9463124833158
speakeasy.net,"Failed, this website is off or blocked our connection"
cio.com,ok,https://www.cio.com/wp-content/uploads/2022/08/Ed-Mobile_FoW_Sep22_767x450.png,39.326994653411205
cspire.com,"Failed, this website is off or blocked our connection"
example.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
yammer.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
so-net.ne.jp,ok,https://www.so-net.ne.jp//portal/202201aa04889e/images/logo-so-net.png,322.02872352138513
datapipe.com,ok,https://www.rackspace.com/sites/default/files/svg/Synchronoss.svg,2912.2487063944372
clicksor.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
inetu.net,"Failed, this website is off or blocked our connection"
gogrid.com,"Failed, this website is off or blocked our connection"
singlehop.com,ok,https://www.inap.com/inap/wp-content/uploads/2021/11/WEB-High-Perfomance-Feature.jpg,267.0400645743207
t-online.de,ok,https://images.t-online.de/2021/06/89558816v2/0x29:1920x1280/fit-in/360x0/der-russische-praesident-wladimir-putin-und-der-fruehere-sowjetische-staatspraesident-michail-gorbatschow-l-sprechen-auf-einer-pressekonferenz-im-miteinander-archivbild-auch-putin-drueckte-sein-beileid-zum-tode-gorbatschows-aus.jpg,5601.144405441074
iweb.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
idrive.com,ok,https://www.idrive.com/include/images/e2_graphics.svg,4.091297187213368
toutapp.com,ok,https://www.marketo.com/software/marketo-sales-connect/themes/the-interwebs/dist/images/monitor-flex-element.png,8.559980606211209
me.com,ok,https://www.icloud.com/icloud_logo/icloud_logo.png,70.58055947491906
consumer-rankings.com,ok,https://www.consumer-rankings.com/wp-content/uploads/2014/10/video_cr-dating_zoosk.jpg,385.9372105452019
411.ca,"Failed, this website is off or blocked our connection"
moonfruit.com,ok,"https://static.wixstatic.com/media/d58553_0fd82bb4f40943bcac78f45a439c04f4~mv2.png/v1/fill/w_95,h_95,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/MF%20logo_edited.png",454.2447117626732
bandwidth.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
vzwshop.com,"Failed, this website is off or blocked our connection"
xfinity.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
digium.com,"Failed, this website is off or blocked our connection"
discounttwo-wayradio.com,ok,https://discounttwo-wayradio.com/wp-content/uploads/2022/08/RDR4280_wireless-blog-image-768x613.jpg,1138.7740000436856
mashery.com,ok,https://www.tibco.com/sites/tibco/files/2022-07/white-panera.svg,776.7511761317676
carphonewarehouse.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
sherweb.com,ok,https://images.sherweb.com/images/branding-2019/home-page/logo-bittitan.svg,435.42970676142806
shoretel.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
imation.com,ok,http://www.imation.com/image/imation_logo.jpg,42.00378541187997
nobelcom.com,ok,https://www.nobelcom.com//images/common/flags9/' + item.id + '.png,6.320564820613913
mocospace.com,ok,http://cdn-img.mocospace.com/static/r272437/wap/images/logo.png,86.82527919324482
talktalk.co.uk,ok,https://new.talktalk.co.uk///images.ctfassets.net/aycrbiawo3x3/31wiB67UQSOlpbob8xlkxR/8864f5608d98830ad2bb94ce35199649/TTMCR549SP_-_NOW_Digital_Assets_Jun22_-_Hero_Asset_-_Desktop_-_468x428.jpg,370.91259900731546
alexa.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
yahoo.net,ok,https://s.yimg.com/uu/api/res/1.2/ssM7wI6UQ1GcIpBdIDTWRQ--~B/Zmk9c3RyaW07aD0xNDA7cT05MDt3PTE0MDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/uu/api/res/1.2/LBYtQarDBRK3P9omX_BXpg--~B/aD04MjM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/pt/purepeople_br_articles_668/f43d9095b528ed5bd28f054c1fa8b40d.cf.jpg,624.5611579476015
conductor.com,ok,https://www.conductor.com/wp-content/uploads/2022/01/conductor-black-logo.svg,649.8062709046635
digitalchocolate.com,"Failed, this website is off or blocked our connection"
ampedwireless.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
mixpanel.com,ok,https://px6vg4ekvl21gtxs836x5jyx-wpengine.netdna-ssl.com/wp-content/uploads/2020/11/logo-mparticle.svg,1546.144278917673
netfirms.com,ok,https://www.netfirms.com//static/cs/img/logo.svg,232.91598780572244
infinitydish.com,ok,http://www.infinitydish.com//wp-content/uploads/2021/02/120LOGOS.png,286.96377185271285
scoutmob.com,"Failed, this website is off or blocked our connection"
unbounce.com,ok,https://unbounce.com/photos/big-nav-block-347x224-v2_2X.jpg,267.1463269256575
netvibes.com,ok,https://www.netvibes.com/en/css/base/img/home/white/logo_netvibes@2x.png,162.25639563185658
photobiz.com,ok,https://www.photobiz.com//content/corporate/photobiz/images/photobiz_minimal_logo.png,361.50793678411463
efaxcorporate.com,ok,https://enterprise.efax.com/wp-content/uploads/2022/01/graphic-efax-developer.jpg,454.2673597729711
arubanetworks.com,ok,https://www.arubanetworks.com/wp-content/themes/Aruba2015/images/aruba-logo-small_136x35.svg,612.338805289229
bodyguardz.com,ok,https://www.bodyguardz.com/on/demandware.static/-/Library-Sites-BodyGuardzSharedLibrary/default/dwc572d3fe/images/media/pages/cms/iphone-13-lp/main-banner-background-purple-mobile.jpg,724.8687464471935
pinnaclecart.com,ok,https://www.pinnaclecart.com/wp-content/uploads/2018/09/growth-services.png,786.128304666554
sitepoint.com,ok,https://d2sis3lil8ndrq.cloudfront.net/books/0cb7dc93-6083-4d84-ba30-843436ad41a7_medium.jpg,96.38437271813513
aerohive.com,ok,https://14slph41wbtl2yi39625md6s-wpengine.netdna-ssl.com/wp-content/uploads/2021/09/UNC-Chapel-Hill_LOGO.svg,283.4553183827457
echodesign.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
signupgenius.com,ok,https://www.signupgenius.com//images/interesting-user-logos/logo-boys-girls-club.jpg,1257.0848060299734
directtrack.com,ok,https://www.digitalriver.com/wp-content/uploads/sites/8/logo-digitalriver-white-4.svg,289.2428557292063
nettalk.com,ok,https://nettalkconnect.com/resources/nt/images/marketing/download-at-google-play.png,293.3836480946534
tripod.com,ok,https://ly.lygo.net/ly/tpSite/images/tripodLogo.png,196.2835597721013
inmobi.com,ok,https://inmobiwebcdn.blob.core.windows.net/website/website/6.0.1/ui/v6/img/InMobi_Logo_Colour.svg,435.1821505470356
narod.ru,ok,https://narod.ru//logo/ukit-logo.png,175.96786062714472
artistwebsites.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
telus.net,"Failed, this website is off or blocked our connection"
3gstore.com,ok,https://5gstore.com/includes/templates/EY/images/5gstore-logo-web_small.png,167.2729624966176
bronto.com,ok,https://www.netsuite.com/portal/home.shtml/portal/assets/img/Oracle-NetSuite-Logo-white.svg,193.4150174235964
cafe24.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
tradeindia.com,ok,https://tiimg.tistatic.com/new_website1/ti-design/images/tradeindia-logo.png,305.4445519736907
windowsazure.com,ok,https://azure.microsoft.com/en-us///azurecomcdn.azureedge.net/cvt-0747fe673b2e8ca5993409bc08d252e543aa7f50e5fa3d6409c621fbdd48b5c7/images/icon/live-tile/azure-310x310.png,487.22717214822393
flippingbook.com,ok,https://d1qwl4ymp6qhug.cloudfront.net/Release/R276/images/frontpage/shannon-b.png,1040.4364289858995
woothemes.com,ok,https://woocommerce.com/wp-content/themes/woo/images/logo-woocommerce.svg,355.63583610838265
bestcovery.com,ok,https://cdn.bestcovery.ca-times-dam.psdops.com/dims4/default/627bc96/2147483647/strip/true/crop/750x490+0+5/resize/320x209!/quality/90/?url=http%3A%2F%2Fbestcovery-brightspot.s3.amazonaws.com%2F9a%2Fda%2Fe4acc8b7440192567c35bf024b1f%2Fmolblly-cooling-pillow.jpg,222.43975004171602
sina.com.cn,ok,https://www.sina.com.cn///n.sinaimg.cn/news/sinahome/footer_logo11v1.png,157.8149342280999
yahoo.com,ok,https://s.yimg.com/uu/api/res/1.2/ssM7wI6UQ1GcIpBdIDTWRQ--~B/Zmk9c3RyaW07aD0xNDA7cT05MDt3PTE0MDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/uu/api/res/1.2/LBYtQarDBRK3P9omX_BXpg--~B/aD04MjM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/pt/purepeople_br_articles_668/f43d9095b528ed5bd28f054c1fa8b40d.cf.jpg,624.6950481068532
thehighcalling.org,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
ezetop.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
altervista.org,ok,https://it.altervista.org/images/facebook/fb-share-altervista.png,242.17191714780648
digitallanding.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
fb.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
allconnect.com,ok,https://www.allconnect.com//wp-content/themes/allconnect/images/logos/Media-Partners-Color/BuckeyeBroadband.png,1162.4416664158089
trendhunter.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
vidyo.com,ok,https://www.vidyo.com/wp-content/uploads/2022/04/6.png,334.7249092411959
otherinbox.com,"Failed, this website is off or blocked our connection"
mediacomcable.com,"Failed, this website is off or blocked our connection"
anymeeting.com,ok,https://www.intermedia.com/anymeeting-video-conferencing?utm_source=amhp/assets/tracked/img/intm-logo-wide.svg,139.39305859975042
lge.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
yesware.com,ok,https://assets-global.website-files.com/6036bf3265493cd8d57a7527/611197107752a32ccf2f66ae_yesware-logos-ally.svg,673.3665451636903
hostdime.com,ok,https://www.hostdime.com//images/our-network/zayo.png,344.0132414494795
buy.com,ok,https://static.ebates.com/static/images/favicons-r/v1/favicon-76x76.png,100.3722635048136
relianceglobalcall.com,ok,https://www.relianceglobalcall.com//images/relianceglobalcall-logo.png,119.50799964230717
clickmeter.com,ok,https://s3.amazonaws.com/clickmeter.com/Web/static/cmlogo.svg,159.2371089174514
ignitionone.com,ok,https://ignitionone.com/wp-content/uploads/2019/03/lenovo-logo.jpg,363.6446835153938
pages05.net,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
kvh.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
local03.com,ok,https://www.local03.com//Portals/_default/Skins/Local03_Online/images/logo.png,37.55440163670251
launchrock.com,ok,https://dq2uhp934kg74.cloudfront.net/production/20220829-0154/img/8ba45bf47a524309659cccf3641ba4d5/community-questions-lr.svg,29.00043195706637
izea.com,ok,https://d27fp5ulgfd7w2.cloudfront.net/wp-content/uploads/2018/07/25153708/logo-6de084326e2cd3a60d412bffbff2f6c00956388b637541ead5705411b1767660.png,849.0279343733066
tributes.com,ok,http://www.tributes.com//trib2_images/logo-tagline-ko.png,56.52176084697977
hdaccessory.com,ok,https://www.hdaccessory.com//product_images/hd_accessory_logo_293x36_1603994455__85214.original.png,115.44060920653365
antonline.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
hatena.ne.jp,ok,https://www.hatena.ne.jp:443//p/images/anonymous-mark.svg,15.247717699245948
geocities.jp,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
pogoplug.com,"Failed, this website is off or blocked our connection"
slickdeals.net,ok,https://slickdeals.net//image-pool/sd-branding/sd-logotext-reverse.svg,828.3889704349974
tollfreeforwarding.com,ok,https://tollfreeforwarding.com/images/2014-08/testimonials-logo13.png,357.488737765696
smaato.com,ok,https://www.smaato.com/wp-content/uploads/2022/04/ott-ctv-infographic-featured-image2.png,412.08716643481137
vps.net,ok,https://www.vps.net//includes/images/global/vps-net-logo.svg,326.6760322921457
sewelldirect.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
hostbaby.com,ok,https://www.hostbaby.com/./assets/logos/logo-youtube.png,507.65274343791157
swisscom.ch,ok,https://rcp.scsstatic.ch/content/dam/swisscom/de/res/mobile/screen-msa-landingpage-de-870-min.png,360.46441894081164
ipower.com,ok,https://www.ipower.com//images/icons/info_small_icon.png,20.608228191761437
crackberry.com,ok,https://d-cb.jc-cdn.com/sites/crackberry.com/files/styles/w100h75crop/public/article_images/2018/12/keyone-update-att-november.jpg,878.62824514349
sinovision.net,ok,https://www.sinovision.net/template/tbimages/2017/index/img/cj-logo.jpg,250.5765441470717
line2.com,ok,https://www.line2.com/wp-content/uploads/2020/09/line2-logo.svg,974.2706176858364
accrisoft.com,ok,https://www.accrisoft.com/clientuploads/directory/our_clients/GreaterOKC.png,119.58635803506898
sendthisfile.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
localphone.com,ok,https://www.localphone.com///static.localphone.com/v3/images/common/footerITSPA-3.00.png,237.80159348256277
invisionapp.com,ok,https://www.invisionapp.com///marketing.invisionapp-cdn.com/www.invisionapp.com/global-assets/favicon/favicon-16x16.png,401.63069319322506
siteground.com,ok,https://damt7w3yoa0t2.cloudfront.net/img/svg/blocks/services/latest_technologies_integrated.svg,77.77396038711582
zoner.com,ok,https://www.zoner.com//__img/zpsx/amb_marinakova.jpg,1212.3798325004939
copernic.com,ok,https://copernic.com/wp-content/themes/understrap-child/images/server-icon-small.png,149.29998619106217
telekom.com,"Failed, this website is off or blocked our connection"
whichvoip.com,ok,https://www.whichvoip.com/images/common/img_1x1.png,263.521568820732
graphicmail.com,ok,https://graphicmail.com/wp-content/uploads/2020/04/cropped-Graphic-Mail-logo.png,709.5071338910435
clicktale.com,ok,https://contentsquare.com/wp-content/uploads/2021/01/Logo-wall-black.png,337.4676114906482
callsource.com,ok,https://www.callsource.com/wp-content/uploads/2018/08/metro-1.png,195.051070962968
ait.com,ok,https://website-design.ait.com/wp-content/uploads/2022/06/aitlogo-1.png,319.5186483106194
no-ip.com,ok,https://www.noip.com///d2qr50rz2oof04.cloudfront.net/assets/img/2022/no-ip-sponsors-event-benefit-northern-nevada-childrens-cancer-foundation-dozers-dirt.jpg,540.0807934367353
toast.net,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
mobal.com,ok,https://www.mobal.com//img/common/logo.svg,246.43673099651497
tatacommunications.com,ok,https://gamma.tatacommunications.com/assets/wp-content/uploads/2021/05/Dr.-Reddys.png,363.3723191145106
cwa-union.org,ok,https://cwa-union.org//sites/all/themes/cwa_union/images/logo.svg,160.10343222984045
accessorygeeks.com,ok,https://www.accessorygeeks.com/media/catalog/product/cache/56fc7608da6a7793df783fca172b74a3/b/m/bmb-baobab-green.jpg,273.64450210243876
at.ua,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
net10.com,ok,https://www.net10wireless.com//assets/images/brandlogo.png,281.61411043882003
eweek.com,ok,https://www.eweek.com/wp-content/uploads/2021/01/eweek_logo_RetinaLogo-300x80.png,1421.4402557064082
gigaom.com,ok,https://gigaom.com/wp-content/uploads/2022/02/CISO-Logo-PNG.png,1112.439243729954
jiwire.com,"Failed, this website is off or blocked our connection"
163.com,ok,https://static.ws.126.net/163/f2e/www/index20170701/images/wzalogo.jpg,177.989979598969
yolasite.com,ok,https://www.yola.com///assets.yolacdn.net/logos/yola-white-ua-9de6e7ea.png,180.71958921121842
seidioonline.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
kajeet.com,ok,https://www.kajeet.net/wp-content/uploads/kajeet_weblogo.png,12216.969646823367
topproducer.com,ok,https://3i5fkm3tt6vd1lmghy3trn1o-wpengine.netdna-ssl.com/wp-content/uploads/2021/01/Real-Estate-CRM-with-most-integrations.jpg,1529.9021422798273
abril.com.br,ok,https://www.assine.abril.com.br/imagem/AssineAbril/novo/assine_goread.jpg,187.80611869826487
infoseek.co.jp,ok,https://image.infoseek.rakuten.co.jp/content/news/og/infoseeklogo.png,33.086491135953686
polleverywhere.com,ok,https://www.polleverywhere.com///davhizrhxzcu1.cloudfront.net/assets/logo/prosci-logo-0aadb280a196972712cd0bea948e9808f42f4af4f53a1ce3c0018c697e8c7947.svg,1236.0855553290246
hostmysite.com,ok,https://www.hostmysite.com//DOAError/assets/images/da_logo.png,37.09648480806598
simplycast.com,ok,https://www.simplycast.com/images/home-page-assets/client-logos/logo-crnnl.png,377.86172430505644
snapapp.com,"Failed, this website is off or blocked our connection"
tribesports.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
hasoffers.com,ok,http://www.hasoffers.com//wp-content/themes/tune.com/img/logos/white/logo-NordVPN.svg,1808.2829419710442
mayo.edu,ok,https://www.mayoclinic.org//-/media/kcms/gbs/research/images/2018/11/13/17/37/mayo-clinic-research-education-3660130-0025r-banner.jpg,385.3721141811334
jumpfly.com,ok,https://www.jumpfly.com/wp-content/uploads/2020/09/Logo@2x.png,1433.7060186749939
uniden.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
mobileiron.com,ok,https://static.ivanti.com/sites/marketing/media/images/icons/people/people-connected-together-center-point.svg,77.31046399430701
streamsend.com,ok,https://try.campaigner.com/wp-content/uploads/2022/01/capterra-rating-yellow-visual.png,1512.5575053700657
a2hosting.com,ok,https://www.a2hosting.com/blog/content/uploads/2021/11/Blog-Images-8-235x150.jpg,1456.916942354796
nextjobathome.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
podomatic.com,ok,https://www.podomatic.com//assets/splash/nav-logo-6ce00f989b507258c4efc88af80f1a5132644b6eaa1fe6c9d2afa990f607cb34.png,204.10738792615115
thinglink.com,ok,https://cdn.thinglink.me/blog/wp-content/uploads/2022/07/MicrosoftTeams-image-102-300x169.png,427.2973805453231
apnic.net,ok,https://blog.apnic.net/wp-content/uploads/2022/08/NIR-SIG_FT.png,194.94524386151545
bezecom.com,"Failed, this website is off or blocked our connection"
fairpoint.com,ok,http://www.fairpoint.com/home.html/files/default/sites/fpTestSite/files/bootstrap/img/consolidated.png,216.84223142451506
digi.com,ok,https://www.digi.com//getattachment/CustomerSuccesses/Biofeeder-Helps-Shrimp-Farmers-to-Automate-Feeding/biofeeder.png?lang=en-US&width=340&height=230&ext=.png,277.8143688274504
usr.com,ok,https://www.usr.com/home//files/4914/6782/7789/USR_LOGO_FINAL_RGB-_Small.png,262.345180003922
cablesandkits.com,ok,https://www.cablesandkits.com///media.cablesandkits.com/static/img/ckOnly.png,542.5414160402663
fathomdelivers.com,ok,https://www.fathomdelivers.com/wp-content/uploads/2019/04/OG_-Twitter-Home-page.png,311.75664907513266
uol.com.br,ok,https://conteudo.imguol.com.br/c/esporte/70/2022/08/30/barreira-tecnologica-usada-no-treino-do-real-madrid-1661893354230_v2_300x300.jpg,360.19162666548186
globalspec.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
jangomail.com,ok,https://jangomail.com/wp-content/uploads/2020/10/cropped-main-logo.png,172.61332668941873
